SN,TestTime,MAC,TotalStatus,打开串口,硬件版本,软件版本,比对产品SN,比对电池SN,蓝牙地址,产品颜色测试,产品提示音测试,霍尔测试,电池电压测试,NTC测试,写充电模式(用户),充电模式测试(用户),清除配对记录,关闭串口
,,,,NA,B816_V10,CM70-L-BD 1.0.0.102,GJ1225,SYN0C,NA,华为黑色,华为中文,NA,3.8,790,用户模式,用户模式,NA,NA
,,,,NA,B816_V10,CM70-L-BD 1.0.0.102,GJ1225,SYN0C,NA,华为黑色,华为中文,NA,3.8,790,用户模式,用户模式,NA,NA
,20190604100404,E09DFA34A61C,Fail,Pass,B816_V10,CM70-L-BD 1.0.0.102,GJ1225195K000174,SYN0C1903013630,E09DFA34A61C,华为黑色,华为中文,Pass,4.088,788,,,,
,20190604100425,E09DFA34A61C,Pass,Pass,B816_V10,CM70-L-BD 1.0.0.102,GJ1225195K000174,SYN0C1903013630,E09DFA34A61C,华为黑色,华为中文,Pass,4.088,799,用户模式,用户模式,Pass,Pass
,20190604100414,E09DFA34A61C,Pass,Pass,B816_V10,CM70-L-BD 1.0.0.102,GJ1225195K000174,SYN0C1903013630,E09DFA34A61C,华为黑色,华为中文,Pass,4.077,800,用户模式,用户模式,Pass,Pass
,20190604110414,E09DFA34A61C,Fail,Pass,B816_V10,CM70-L-BD 1.0.0.102,GJ1225195K000174,SYN0C1903013630,E09DFA34A61C,华为黑色,华为中文,Fail,,,,,,
,20190604110428,E09DFA34A61C,Fail,Pass,B816_V10,CM70-L-BD 1.0.0.102,GJ1225195K000174,SYN0C1903013630,E09DFA34A61C,华为黑色,华为中文,Fail,,,,,,
,20190604110424,E09DFA34A61C,Fail,Pass,B816_V10,CM70-L-BD 1.0.0.102,GJ1225195K000174,SYN0C1903013630,E09DFA34A61C,华为黑色,华为中文,Fail,,,,,,
,20190604110450,E09DFA34A61C,Pass,Pass,B816_V10,CM70-L-BD 1.0.0.102,GJ1225195K000174,SYN0C1903013630,E09DFA34A61C,华为黑色,华为中文,Pass,4.1,844,用户模式,用户模式,Pass,Pass
,20190604110403,E09DFA34A61C,Pass,Pass,B816_V10,CM70-L-BD 1.0.0.102,GJ1225195K000174,SYN0C1903013630,E09DFA34A61C,华为黑色,华为中文,Pass,4.1,844,用户模式,用户模式,Pass,Pass
,20190604110450,E09DFA34A61C,Pass,Pass,B816_V10,CM70-L-BD 1.0.0.102,GJ1225195K000174,SYN0C1903013630,E09DFA34A61C,华为黑色,华为中文,Pass,4.088,844,用户模式,用户模式,Pass,Pass
,20190604110426,E09DFA34A61C,Pass,Pass,B816_V10,CM70-L-BD 1.0.0.102,GJ1225195K000174,SYN0C1903013630,E09DFA34A61C,华为黑色,华为中文,Pass,4.1,833,用户模式,用户模式,Pass,Pass
